file,misclassified
filtered_219013178_20240529_0030-20240529_0044_standardized_10s.csv,6
filtered_209938000_20240522_1434-20240522_1449_standardized_10s.csv,6
filtered_220182000_20240529_2204-20240529_2219_standardized_10s.csv,6
filtered_220225000_20240523_0124-20240523_0139_standardized_10s.csv,6
filtered_219017895_20240526_0650-20240526_0705_standardized_10s.csv,6
filtered_244834000_20240527_0547-20240527_0602_standardized_10s.csv,6
filtered_219793000_20240523_0942-20240523_0957_standardized_10s.csv,5
filtered_219793000_20240523_1712-20240523_1727_standardized_10s.csv,5
filtered_219027298_20240525_1301-20240525_1316_standardized_10s.csv,5
filtered_219027298_20240525_1416-20240525_1431_standardized_10s.csv,5
filtered_219001518_20240530_1324-20240530_1339_standardized_10s.csv,5
filtered_219024411_20240529_0110-20240529_0125_standardized_10s.csv,5
filtered_220225000_20240526_0215-20240526_0230_standardized_10s.csv,5
filtered_219001518_20240528_1939-20240528_1954_standardized_10s.csv,5
filtered_261004881_20240525_0230-20240525_0244_standardized_10s.csv,5
filtered_219032609_20240526_0958-20240526_1013_standardized_10s.csv,5
filtered_219793000_20240528_0114-20240528_0129_standardized_10s.csv,5
filtered_219421000_20240525_0615-20240525_0629_standardized_10s.csv,5
filtered_219013178_20240527_2000-20240527_2015_standardized_10s.csv,5
filtered_261004881_20240526_1945-20240526_1959_standardized_10s.csv,5
filtered_219019936_20241122_1242-20241122_1256_standardized_10s.csv,5
filtered_219014851_20240524_1003-20240524_1018_standardized_10s.csv,5
filtered_219793000_20240530_1644-20240530_1659_standardized_10s.csv,5
filtered_205769000_20240525_2212-20240525_2227_standardized_10s.csv,5
filtered_220339000_20240523_0608-20240523_0623_standardized_10s.csv,5
filtered_219032609_20240526_0628-20240526_0643_standardized_10s.csv,5
filtered_219024411_20240528_1125-20240528_1140_standardized_10s.csv,4
filtered_255915755_20241130_0411-20241130_0426_standardized_10s.csv,4
filtered_220329000_20240528_0215-20240528_0229_standardized_10s.csv,4
filtered_220295000_20240529_0635-20240529_0650_standardized_10s.csv,4
filtered_219004203_20240525_1321-20240525_1335_standardized_10s.csv,4
filtered_219017895_20240526_0620-20240526_0635_standardized_10s.csv,4
filtered_220182000_20240527_0945-20240527_0959_standardized_10s.csv,4
filtered_219027298_20240528_1159-20240528_1214_standardized_10s.csv,4
filtered_220368000_20240525_0832-20240525_0847_standardized_10s.csv,4
filtered_220225000_20240525_1000-20240525_1015_standardized_10s.csv,4
filtered_219017895_20240524_0402-20240524_0417_standardized_10s.csv,4
filtered_219543000_20240522_0620-20240522_0635_standardized_10s.csv,4
filtered_219013178_20240524_2214-20240524_2229_standardized_10s.csv,4
filtered_219014851_20240530_1330-20240530_1344_standardized_10s.csv,4
filtered_219793000_20240522_2142-20240522_2157_standardized_10s.csv,4
filtered_219025535_20240526_1422-20240526_1437_standardized_10s.csv,4
filtered_219793000_20240523_0712-20240523_0727_standardized_10s.csv,4
filtered_220295000_20240526_1230-20240526_1244_standardized_10s.csv,4
filtered_220182000_20240523_2106-20240523_2121_standardized_10s.csv,4
filtered_220225000_20240527_0315-20240527_0330_standardized_10s.csv,4
filtered_219421000_20240524_1409-20240524_1423_standardized_10s.csv,4
filtered_235108046_20240530_1025-20240530_1040_standardized_10s.csv,4
filtered_220339000_20240524_0338-20240524_0353_standardized_10s.csv,4
filtered_219014851_20240527_1057-20240527_1111_standardized_10s.csv,4
filtered_219793000_20240523_0857-20240523_0912_standardized_10s.csv,4
filtered_563192100_20241126_2224-20241126_2239_standardized_10s.csv,4
filtered_220182000_20240524_0721-20240524_0736_standardized_10s.csv,4
filtered_219014851_20240524_0003-20240524_0018_standardized_10s.csv,4
filtered_219421000_20240527_1315-20240527_1330_standardized_10s.csv,4
filtered_220329000_20240523_1145-20240523_1200_standardized_10s.csv,3
