# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 10:16:48,Class A,266274000,58.177527,11.065123,Under way using engine,,4.9,205.1,206.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 11:22:09,Class A,266274000,58.087497,10.980617,Under way using engine,,5.9,208.2,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:22:39,Class A,266274000,58.086743,10.979945,Under way using engine,,5.7,197.1,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:23:09,Class A,266274000,58.086027,10.979405,Under way using engine,,5.5,197.2,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:23:19,Class A,266274000,58.085775,10.979187,Under way using engine,,5.0,203.7,201.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:23:48,Class A,266274000,58.085167,10.978693,Under way using engine,,5.5,200.3,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:24:19,Class A,266274000,58.084465,10.978033,Under way using engine,0.0,5.2,201.4,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:25:19,Class A,266274000,58.083023,10.976683,Under way using engine,,5.0,204.1,214.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:25:36,Class A,266274000,58.0827,10.97628,Under way using engine,,5.5,213.2,205.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:25:39,Class A,266274000,58.082633,10.976172,Under way using engine,,6.2,215.8,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:25:41,Class A,266274000,58.082588,10.976115,Under way using engine,,5.9,208.0,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:25:45,Class A,266274000,58.08248,10.976047,Under way using engine,0.0,5.8,206.9,203.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:25:48,Class A,266274000,58.082398,10.975973,Under way using engine,,6.1,207.1,203.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:25:51,Class A,266274000,58.082288,10.975878,Under way using engine,0.0,6.8,203.8,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:25:55,Class A,266274000,58.082218,10.975818,Under way using engine,0.0,6.0,204.5,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:26:19,Class A,266274000,58.081652,10.97522,Under way using engine,,5.2,216.1,205.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:26:29,Class A,266274000,58.081422,10.975002,Under way using engine,0.0,5.8,208.3,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:27:09,Class A,266274000,58.080442,10.974248,Under way using engine,,5.7,198.1,206.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:27:19,Class A,266274000,58.08021,10.974035,Under way using engine,,5.9,202.3,205.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:27:29,Class A,266274000,58.079962,10.973795,Under way using engine,0.0,4.8,209.2,203.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:27:39,Class A,266274000,58.079783,10.973667,Under way using engine,,4.0,208.6,206.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:27:48,Class A,266274000,58.079643,10.973535,Under way using engine,,3.7,209.4,206.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:28:19,Class A,266274000,58.079012,10.972922,Under way using engine,,5.3,205.1,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:28:22,Class A,266274000,58.079012,10.972922,Under way using engine,,5.3,205.1,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:28:39,Class A,266274000,58.078515,10.972492,Under way using engine,,5.7,199.9,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:29:09,Class A,266274000,58.077732,10.971787,Under way using engine,,5.9,212.6,203.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:29:19,Class A,266274000,58.07748,10.971592,Under way using engine,,5.9,200.2,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:29:29,Class A,266274000,58.077193,10.971372,Under way using engine,,5.9,201.6,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:29:39,Class A,266274000,58.076993,10.971135,Under way using engine,,5.8,209.5,209.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:29:58,Class A,266274000,58.076538,10.970648,Under way using engine,,6.3,210.7,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:30:29,Class A,266274000,58.075715,10.969833,Under way using engine,0.0,6.4,210.9,206.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:30:39,Class A,266274000,58.075478,10.969628,Under way using engine,,6.4,211.6,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:30:48,Class A,266274000,58.075243,10.969407,Under way using engine,0.0,6.5,209.7,205.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:31:39,Class A,266274000,58.074118,10.968297,Under way using engine,,4.5,199.6,205.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:31:48,Class A,266274000,58.073953,10.968163,Under way using engine,,4.5,211.6,205.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:31:58,Class A,266274000,58.07375,10.967992,Under way using engine,,4.7,212.5,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:32:19,Class A,266274000,58.073268,10.967483,Under way using engine,,5.8,208.6,206.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:32:58,Class A,266274000,58.072303,10.966568,Under way using engine,,6.1,208.6,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:33:39,Class A,266274000,58.071223,10.96556,Under way using engine,,6.2,206.4,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:33:48,Class A,266274000,58.070952,10.965302,Under way using engine,,6.8,200.8,208.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:34:28,Class A,266274000,58.070022,10.964513,Under way using engine,,5.2,204.3,202.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:34:33,Class A,266274000,58.069918,10.964432,Under way using engine,,5.3,199.0,209.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:34:38,Class A,266274000,58.069783,10.964323,Under way using engine,,5.2,202.2,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:34:44,Class A,266274000,58.06965,10.964143,Under way using engine,,5.9,208.1,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:34:48,Class A,266274000,58.06955,10.964072,Under way using engine,0.0,5.8,205.0,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:34:58,Class A,266274000,58.069323,10.9638,Under way using engine,,6.1,211.5,204.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:35:28,Class A,266274000,58.06856,10.96308,Under way using engine,,6.7,209.3,207.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:35:38,Class A,266274000,58.068293,10.962788,Under way using engine,,5.8,210.4,203.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:35:48,Class A,266274000,58.068043,10.962588,Under way using engine,0.0,6.0,206.7,201.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:35:58,Class A,266274000,58.067815,10.962435,Under way using engine,,5.7,206.7,198.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:36:05,Class A,266274000,58.067632,10.962338,Under way using engine,,6.1,198.7,192.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:36:05,Class A,266274000,58.067632,10.962338,Under way using engine,,6.1,198.7,192.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:36:28,Class A,266274000,58.067077,10.962035,Under way using engine,,5.3,193.7,189.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
26/11/2024 11:36:32,Class A,266274000,58.067008,10.962013,Under way using engine,0.0,5.0,191.2,188.0,6825490,SDLE,KENNEDY,Fishing,,7.0,34.0,GPS,4.5,0,,AIS,20.0,14.0,1.0,6.0
